Région,Préfecture,Sous-préfecture,Nom de l'Établissement,Nombre total de personnes ,Public ou privé?,Partenaire responsable de la formation,Date de la formation,Durée de la formation (jours),Type de formation,Nombre de personnes formées,Region p-code,Prefecture p-code,Subprefecture p-code
#adm1+name,#adm2+name,#adm3+name,#loc+name,#inneed+training,#status+sector,#org+code,#date,#output+duration,#output+type,#reached+trained,#adm1+code,#adm2+code,#adm3+code
Conakry,Conakry,Dixinn,Clinique Stade,,prive,CRS,Oui,,PCI Ebola,,,,
Conakry,Conakry,,Association pour le developpement medical et communautaire de Guinee,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,CLS,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Cabinet Saint Andre,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Cabinet Votre Famille,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre Fowler,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre Medical Amitie,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre Medical Benjelo,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre Medical Espoir des enfants,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre Medical Fofana,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre Medical Fraternite Medicale de Guinee,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre Medical Kamilia,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre Medical Marie Therese,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre Medical Papa Gabriel,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre Medical Saint Jean,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre Medical Wassa-Wassa,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre Medical Dr Sow,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Centre pharmacope de Yimbaya,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Abidessa,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Association de survie D'Enfant,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Bomboli,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Bon Samaritin,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique CNT,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Jebace,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Jeubagui,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Jour Dain,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Laveran,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Luice,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Makoubou,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Marcel Loua,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique N'ko,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique N'ko,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique N'ko,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique N'ko,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique N'ko,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique N'ko,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Odamas,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Odamas,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
Conakry,Conakry,,Clinique Odamas,,prive,CRS,OUI,,PCI Ebola,,GIN002,GIN002001,
