Nom de l'établissement,P-code de l'établissement,Nom de la sous-préfecture,P-code de la sous-préfecture,Nom de la préfecture,P-code de la préfecture,Nom de la région,P-code de la région,Public ou privé?,Latitude,Longitude
#loc+name,#loc+code,#adm3+name,#adm3+code,#adm2+name,#adm2+code,#adm1+name,#adm1+code,#status+sector,#geo+lat,#geo+lon
Afia,,Hafia,GIN00600206,Labe,GIN006002,Labe,GIN006,public,,
AGBEF Camayenne,,Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002,public,,
AGVS Koloma 2,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
AGVS Wanindara,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Aindé,,Bantignel,GIN00700301,Pita,GIN007003,Mamou,GIN007,public,,
Alahine,,Kintinian,GIN00400505,Siguiri,GIN004005,Kankan,GIN004,public,,
Alahinè,,Kintinian,GIN00400505,Siguiri,GIN004005,Kankan,GIN004,public,,
Alhassane SOUMAH,,Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002,prive,,
Almamiya,,Madina Oula,GIN00500406,Kindia,GIN005004,Kindia,GIN005,public,,
Almamiya,,Sibiribaro,GIN00400207,Kerouane,GIN004002,Kankan,GIN004,public,,
Alpha Yaya,,Dialokoro,GIN00400402,Mandiana,GIN004004,Kankan,GIN004,,,
AMID,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Amso ophtalmologique,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Anastasis Wanindara,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Aolazou,,Watanka,GIN00800415,Macenta,GIN008004,Nzerekore,GIN008,public,,
Arfamoussaya Centre,,Dogomet,GIN00300105,Dabola,GIN003001,Faranah,GIN003,public,,
Assemblée de Dieu,,Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002,prive,,
Aviation (N_F),,Fria Ctre,GIN00100503,Fria,GIN001005,Boke,GIN001,public,,
Baala,,Diecke,GIN00800605,Yomou,GIN008006,Nzerekore,GIN008,public,,
Babila 2 Centre de Santé,,Babila,GIN00400301,Kouroussa,GIN004003,Kankan,GIN004,public,,
Badiaro,,Daro,GIN00800404,Macenta,GIN008004,Nzerekore,GIN008,public,,
Bagbè Daye,,Termassadou,GIN00800210,Gueckedou,GIN008002,Nzerekore,GIN008,public,,
Bagnan,,Hafia,GIN00600206,Labe,GIN006002,Labe,GIN006,public,,
Baguinet Centre de Santé,,Baguinet,GIN00100501,Fria,GIN001005,Boke,GIN001,public,,
Baimani (Communautaire),,Ouremai,GIN00800410,Macenta,GIN008004,Nzerekore,GIN008,public,,
Bakpaou,,Balizia,GIN00800401,Macenta,GIN008004,Nzerekore,GIN008,public,,
Baladou,,Sansando,GIN00400412,Mandiana,GIN004004,Kankan,GIN004,public,,
Balaki,,Balaki,GIN00600401,Mali,GIN006004,Labe,GIN006,public,,
Balandé,,Sogolon,GIN00500511,Telimele,GIN005005,Kindia,GIN005,public,,
Balandou,,Balandougouba,GIN00400401,Mandiana,GIN004004,Kankan,GIN004,public,,
Balandou Centre de Santé,,Kankan Ctre,GIN00400105,Kankan,GIN004001,Kankan,GIN004,public,,
Balandougou,,Niagassola,GIN00400508,Siguiri,GIN004005,Kankan,GIN004,public,,
Balandougou,,Sangaredi,GIN00100208,Boke,GIN001002,Boke,GIN001,public,,
Balandougou,,Tormelin,GIN00100504,Fria,GIN001005,Boke,GIN001,public,,
Balandougouba 2 Centre de Santé,,Balandougouba,GIN00400401,Mandiana,GIN004004,Kankan,GIN004,public,,
Balato,,Kintinian,GIN00400505,Siguiri,GIN004005,Kankan,GIN004,public,,
Balaya Centre de Santé,,Balaya,GIN00600301,Lelouma,GIN006003,Labe,GIN006,public,,
Balémou,,Yalenzou,GIN00800511,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Ballan,,Kiniero,GIN00400308,Kouroussa,GIN004003,Kankan,GIN004,public,,
Ballaya,,Banian,GIN00300301,Faranah,GIN003003,Faranah,GIN003,public,,
Bamakama,,Bowe,GIN00800604,Yomou,GIN008006,Nzerekore,GIN008,public,,
Bamba,,Yende Millimou,GIN00300412,Kissidougou,GIN003004,Faranah,GIN003,public,,
Bambadou 2,,Sibiribaro,GIN00400207,Kerouane,GIN004002,Kankan,GIN004,public,,
Bambaya Centre,,Kindia Ctre,GIN00500404,Kindia,GIN005004,Kindia,GIN005,public,,
Bambaya Missidé,,Daramagnaky,GIN00500502,Telimele,GIN005005,Kindia,GIN005,public,,
Banakoro-Centre,,Dialokoro,GIN00400402,Mandiana,GIN004004,Kankan,GIN004,,,
Bananfara,,Dialokoro,GIN00400402,Mandiana,GIN004004,Kankan,GIN004,,,
Banga,,Gbangbadou,GIN00300407,Kissidougou,GIN003004,Faranah,GIN003,public,,
Bangoueta,,Yalenzou,GIN00800511,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Banian,,Banian,GIN00300301,Faranah,GIN003003,Faranah,GIN003,public,,
Banko,,Banko,GIN00300102,Dabola,GIN003001,Faranah,GIN003,public,,
Bankon Centre de Santé,,Bankon,GIN00400501,Siguiri,GIN004005,Kankan,GIN004,public,,
Bankoumana Centre,,Koundianakoro,GIN00400407,Mandiana,GIN004004,Kankan,GIN004,public,,
Banzou Nord,,Gouecke,GIN00800502,Nzerekore,GIN008005,Nzerekore,GIN008,public,,
Bara-Centre,,Mali Ctre,GIN00600409,Mali,GIN006004,Labe,GIN006,public,,
Barkèrè,,Wendou Mbour,GIN00100308,Gaoual,GIN001003,Boke,GIN001,public,,
Baro 1 Centre de Santé,,Baro,GIN00400304,Kouroussa,GIN004003,Kankan,GIN004,public,,
