Subprefecture name,Subprefecture p-code,Prefecture name,Prefecture p-code,Region name,Region p-code
#adm3+name,#adm3+code,#adm2+name,#adm2+code,#adm1+name,#adm1+code
Tountourou,GIN00600213,Labe,GIN006002,Labe,GIN006
Vasseredou,GIN00800414,Macenta,GIN008004,Nzerekore,GIN008
Watanka,GIN00800415,Macenta,GIN008004,Nzerekore,GIN008
Wendou Mbour,GIN00100308,Gaoual,GIN001003,Boke,GIN001
Womey,GIN00800510,Nzerekore,GIN008005,Nzerekore,GIN008
Wonkifong,GIN00500104,Coyah,GIN005001,Kindia,GIN005
Yalenzou,GIN00800511,Nzerekore,GIN008005,Nzerekore,GIN008
Yende Millimou,GIN00300412,Kissidougou,GIN003004,Faranah,GIN003
Yimbering,GIN00600413,Mali,GIN006004,Labe,GIN006
Yombiro,GIN00300413,Kissidougou,GIN003004,Faranah,GIN003
Tanene,GIN00500208,Dubreka,GIN005002,Kindia,GIN005
Tanene,GIN00100210,Boke,GIN001002,Boke,GIN001
Telemele Ctre,GIN00500513,Telimele,GIN005005,Kindia,GIN005
Bourouwal,GIN00500501,Telimele,GIN005005,Kindia,GIN005
Daramagnaky,GIN00500502,Telimele,GIN005005,Kindia,GIN005
Gougoudje,GIN00500503,Telimele,GIN005005,Kindia,GIN005
Koba,GIN00500504,Telimele,GIN005005,Kindia,GIN005
Kollet,GIN00500505,Telimele,GIN005005,Kindia,GIN005
Konsotami,GIN00500506,Telimele,GIN005005,Kindia,GIN005
Matakaou,GIN00600104,Koubia,GIN006001,Labe,GIN006
Missira,GIN00500507,Telimele,GIN005005,Kindia,GIN005
Santou,GIN00500508,Telimele,GIN005005,Kindia,GIN005
Sinta,GIN00500510,Telimele,GIN005005,Kindia,GIN005
Sogolon,GIN00500511,Telimele,GIN005005,Kindia,GIN005
Thionthian,GIN00500514,Telimele,GIN005005,Kindia,GIN005
Kakossa,GIN00500306,Forecariah,GIN005003,Kindia,GIN005
Bintimodia,GIN00100201,Boke,GIN001002,Boke,GIN001
Banama,GIN00300402,Kissidougou,GIN003004,Faranah,GIN003
Coyah Ctre,GIN00500101,Coyah,GIN005001,Kindia,GIN005
Banankoro,GIN00400201,Kerouane,GIN004002,Kankan,GIN004
Allassoyah,GIN00500301,Forecariah,GIN005003,Kindia,GIN005
Arfamoussayah,GIN00300101,Dabola,GIN003001,Faranah,GIN003
Babila,GIN00400301,Kouroussa,GIN004003,Kankan,GIN004
Badi,GIN00500201,Dubreka,GIN005002,Kindia,GIN005
Yomou Ctre,GIN00800607,Yomou,GIN008006,Nzerekore,GIN008
Baguinet,GIN00100501,Fria,GIN001005,Boke,GIN001
Banfele,GIN00400303,Kouroussa,GIN004003,Kankan,GIN004
Balaya,GIN00600301,Lelouma,GIN006003,Labe,GIN006
Balizia,GIN00800401,Macenta,GIN008004,Nzerekore,GIN008
Binikala,GIN00800402,Macenta,GIN008004,Nzerekore,GIN008
Albadariah,GIN00300401,Kissidougou,GIN003004,Faranah,GIN003
Balaki,GIN00600401,Mali,GIN006004,Labe,GIN006
Balandougou,GIN00400101,Kankan,GIN004001,Kankan,GIN004
Balandougouba,GIN00400401,Mandiana,GIN004004,Kankan,GIN004
Balato,GIN00400302,Kouroussa,GIN004003,Kankan,GIN004
Bangouya,GIN00500401,Kindia,GIN005004,Kindia,GIN005
Banguigny,GIN00100502,Fria,GIN001005,Boke,GIN001
Banie,GIN00800601,Yomou,GIN008006,Nzerekore,GIN008
Banko,GIN00300102,Dabola,GIN003001,Faranah,GIN003
Bankon,GIN00400501,Siguiri,GIN004005,Kankan,GIN004
Bate Nafadji,GIN00400102,Kankan,GIN004001,Kankan,GIN004
Youkounkoun,GIN00100407,Koundara,GIN001004,Boke,GIN001
Banora,GIN00300201,Dinguiraye,GIN003002,Faranah,GIN003
Bantignel,GIN00700301,Pita,GIN007003,Mamou,GIN007
Boke Ctre,GIN00100202,Boke,GIN001002,Boke,GIN001
Bardou,GIN00300403,Kissidougou,GIN003004,Faranah,GIN003
Baro,GIN00400304,Kouroussa,GIN004003,Kankan,GIN004
Beindou,GIN00300404,Kissidougou,GIN003004,Faranah,GIN003
Beindou,GIN00300302,Faranah,GIN003003,Faranah,GIN003
Benty,GIN00500302,Forecariah,GIN005003,Kindia,GIN005
Beyla Ctre,GIN00800101,Beyla,GIN008001,Nzerekore,GIN008
Bheeta,GIN00800602,Yomou,GIN008006,Nzerekore,GIN008
Bignamou,GIN00800603,Yomou,GIN008006,Nzerekore,GIN008
Bissikrima,GIN00300103,Dabola,GIN003001,Faranah,GIN003
Bodie,GIN00700101,Dalaba,GIN007001,Mamou,GIN007
Boffa Ctre,GIN00100101,Boffa,GIN001001,Boke,GIN001
Bofossou,GIN00800403,Macenta,GIN008004,Nzerekore,GIN008
Bolodou,GIN00800201,Gueckedou,GIN008002,Nzerekore,GIN008
Boola,GIN00800102,Beyla,GIN008001,Nzerekore,GIN008
Bossou,GIN00800301,Lola,GIN008003,Nzerekore,GIN008
Boula,GIN00400103,Kankan,GIN004001,Kankan,GIN004
Damakania,GIN00500402,Kindia,GIN005004,Kindia,GIN005
Bouliwel,GIN00700201,Mamou,GIN007002,Mamou,GIN007
Garambe,GIN00600205,Labe,GIN006002,Labe,GIN006
Bounouma,GIN00800501,Nzerekore,GIN008005,Nzerekore,GIN008
Bowe,GIN00800604,Yomou,GIN008006,Nzerekore,GIN008
Brouwal Tape,GIN00700302,Pita,GIN007003,Mamou,GIN007
Damaro,GIN00400202,Kerouane,GIN004002,Kankan,GIN004
Daralabe,GIN00600202,Labe,GIN006002,Labe,GIN006
Dogomet,GIN00300105,Dabola,GIN003001,Faranah,GIN003
Cissela,GIN00400305,Kouroussa,GIN004003,Kankan,GIN004
Dabiss,GIN00100203,Boke,GIN001002,Boke,GIN001
Dabola Ctre,GIN00300104,Dabola,GIN003001,Faranah,GIN003
Dalaba Ctre,GIN00700102,Dalaba,GIN007001,Mamou,GIN007
Dalein,GIN00600201,Labe,GIN006002,Labe,GIN006
Daro,GIN00800404,Macenta,GIN008004,Nzerekore,GIN008
Dialakoro,GIN00300202,Dinguiraye,GIN003002,Faranah,GIN003
Dialokoro,GIN00400402,Mandiana,GIN004004,Kankan,GIN004
Diaraguerela,GIN00800103,Beyla,GIN008001,Nzerekore,GIN008
Diari,GIN00600203,Labe,GIN006002,Labe,GIN006
Diassodou,GIN00800104,Beyla,GIN008001,Nzerekore,GIN008
Diatifere,GIN00300203,Dinguiraye,GIN003002,Faranah,GIN003
Diecke,GIN00800605,Yomou,GIN008006,Nzerekore,GIN008
Dinguiraye Ctre,GIN00300204,Dinguiraye,GIN003002,Faranah,GIN003
Dionfo,GIN00600204,Labe,GIN006002,Labe,GIN006
Diontou,GIN00600302,Lelouma,GIN006003,Labe,GIN006
Ditinn,GIN00700103,Dalaba,GIN007001,Mamou,GIN007
Doko,GIN00400502,Siguiri,GIN004005,Kankan,GIN004
