#adm1+code,#adm2+code,#adm3+code,#geo+lat,#geo+lon,#loc+name
GIN008,GIN008002,GIN00800202,8.36649,10.64832,xxxx
GIN002,GIN002001,GIN00200105,9.60563,13.63029,CENTRE MERE ET ENFANTS
GIN002,GIN002001,GIN00200105,9.57833,13.63698,CENTRE MEDICAL SAPROMEG
GIN002,GIN002001,GIN00200104,9.59097,13.60749,clinique solidarite medical guinee
GIN002,GIN002001,GIN00200104,9.59097,13.60749,clinique yimbaya permance
GIN002,GIN002001,GIN00200104,9.59097,13.60749,centre medical marcel
GIN008,GIN008002,GIN00800207,8.50525,10.33183,Centre de Soin privédeNongoa centre
GIN008,GIN008002,GIN00800204,8.76589,10.12719,Centre de Soin catholique Badala
GIN008,GIN008002,GIN00800203,8.57588,10.12396,Soins privé Baladou
GIN008,GIN008002,GIN00800203,8.56184,10.12607,Etablissement de soins privé
GIN008,GIN008002,GIN00800203,8.5567,10.13285,centre de soins privé
GIN008,GIN008002,GIN00800201,8.86242,10.19327,CENTRE DE SOIN PRIVEE MANO
GIN008,GIN008004,GIN00800401,8.64225,9.63808,Dispensaire catholique de Kolouma
GIN006,GIN006002,GIN00600209,11.30743,12.27231,Cabinet privé de soin
GIN005,GIN005001,GIN00500103,9.72239,13.47609,Soins médicaux la vie
GIN005,GIN005001,GIN00500103,9.72239,13.47609,"Cabinet médical consultation,accouchemen"
GIN005,GIN005001,GIN00500103,9.72239,13.47609,Centre de soins médicaux
GIN005,GIN005001,GIN00500103,9.72239,13.47609,Centre de soins Béa
GIN005,GIN005001,GIN00500103,9.70478,13.49671,Cabinet de soins long Avosé
GIN005,GIN005001,GIN00500103,9.69481,13.50564,Cabinet médical camara et frères
GIN005,GIN005001,GIN00500103,9.69481,13.50564,Jean kouloba
GIN005,GIN005001,GIN00500103,9.69481,13.50564,Cabinet de sage femme
GIN005,GIN005001,GIN00500103,9.69481,13.50564,Cabinet de soins de Fanko
GIN005,GIN005001,GIN00500103,9.67921,13.51586,Clinique CBA
GIN005,GIN005001,GIN00500103,9.67145,13.52683,Centre médical de lansanaya
