Type de formation,Nom de la région,P-code de la région,Nom de la préfecture,P-code de la préfecture,Nom de la sous-préfecture,P-code de la sous-préfecture,Total des établissements,Établissements formées
#output+type,#adm1+name,#adm1+code,#adm2+name,#adm2+code,#adm3+name,#adm3+code,#inneed,#reached
PCI Ebola,Boke,GIN001,Boffa,GIN001001,Boffa Ctre,GIN00100101,6,6
PCI Ebola,Boke,GIN001,Boffa,GIN001001,Douprou,GIN00100102,3,3
PCI Ebola,Boke,GIN001,Boffa,GIN001001,Koba Tatema,GIN00100103,4,0
PCI Ebola,Boke,GIN001,Boffa,GIN001001,Kolia,GIN00100104,3,3
PCI Ebola,Boke,GIN001,Boffa,GIN001001,Lisso,GIN00100105,5,5
PCI Ebola,Boke,GIN001,Boffa,GIN001001,Mankountan,GIN00100106,2,2
PCI Ebola,Boke,GIN001,Boffa,GIN001001,Tamita,GIN00100107,5,5
PCI Ebola,Boke,GIN001,Boffa,GIN001001,Tougnifily,GIN00100108,2,2
PCI Ebola,Boke,GIN001,Boke,GIN001002,Bintimodia,GIN00100201,9,5
PCI Ebola,Boke,GIN001,Boke,GIN001002,Boke Ctre,GIN00100202,17,11
PCI Ebola,Boke,GIN001,Boke,GIN001002,Dabiss,GIN00100203,3,2
PCI Ebola,Boke,GIN001,Boke,GIN001002,Kamsar,GIN00100204,35,25
PCI Ebola,Boke,GIN001,Boke,GIN001002,Kanfarande,GIN00100205,11,7
PCI Ebola,Boke,GIN001,Boke,GIN001002,Kolaboui,GIN00100206,12,9
PCI Ebola,Boke,GIN001,Boke,GIN001002,Malapouya,GIN00100207,4,3
PCI Ebola,Boke,GIN001,Boke,GIN001002,Sangaredi,GIN00100208,22,15
PCI Ebola,Boke,GIN001,Boke,GIN001002,Sansale,GIN00100209,4,3
PCI Ebola,Boke,GIN001,Boke,GIN001002,Tanene,GIN00100210,7,2
PCI Ebola,Boke,GIN001,Fria,GIN001005,Baguinet,GIN00100501,9,5
PCI Ebola,Boke,GIN001,Fria,GIN001005,Banguigny,GIN00100502,3,1
PCI Ebola,Boke,GIN001,Fria,GIN001005,Fria Ctre,GIN00100503,24,17
PCI Ebola,Boke,GIN001,Fria,GIN001005,Tormelin,GIN00100504,8,5
PCI Ebola,Boke,GIN001,Gaoual,GIN001003,Foulamory,GIN00100301,2,0
PCI Ebola,Boke,GIN001,Gaoual,GIN001003,Gaoual Ctre,GIN00100302,2,0
PCI Ebola,Boke,GIN001,Gaoual,GIN001003,Kakony,GIN00100303,3,0
PCI Ebola,Boke,GIN001,Gaoual,GIN001003,Koumbia,GIN00100304,3,0
PCI Ebola,Boke,GIN001,Gaoual,GIN001003,Kounsitel,GIN00100305,3,0
PCI Ebola,Boke,GIN001,Gaoual,GIN001003,Malanta,GIN00100306,2,0
PCI Ebola,Boke,GIN001,Gaoual,GIN001003,Touba,GIN00100307,1,0
PCI Ebola,Boke,GIN001,Gaoual,GIN001003,Wendou Mbour,GIN00100308,4,0
PCI Ebola,Boke,GIN001,Koundara,GIN001004,Guinguan,GIN00100401,2,0
PCI Ebola,Boke,GIN001,Koundara,GIN001004,Kamabi,GIN00100402,2,0
PCI Ebola,Boke,GIN001,Koundara,GIN001004,Koundara Ctre,GIN00100403,3,0
PCI Ebola,Boke,GIN001,Koundara,GIN001004,Sambailo,GIN00100404,2,0
PCI Ebola,Boke,GIN001,Koundara,GIN001004,Sareboido,GIN00100405,1,0
PCI Ebola,Boke,GIN001,Koundara,GIN001004,Termesse,GIN00100406,1,0
PCI Ebola,Boke,GIN001,Koundara,GIN001004,Youkounkoun,GIN00100407,1,0
PCI Ebola,Conakry,GIN002,Conakry,GIN002001,Dixinn,GIN00200101,39,28
PCI Ebola,Conakry,GIN002,Conakry,GIN002001,Kaloum,GIN00200102,51,20
PCI Ebola,Conakry,GIN002,Conakry,GIN002001,Matam,GIN00200103,20,15
PCI Ebola,Conakry,GIN002,Conakry,GIN002001,Matoto,GIN00200104,70,56
PCI Ebola,Conakry,GIN002,Conakry,GIN002001,Ratoma,GIN00200105,144,95
PCI Ebola,Faranah,GIN003,Dabola,GIN003001,Arfamoussayah,GIN00300101,2,0
PCI Ebola,Faranah,GIN003,Dabola,GIN003001,Banko,GIN00300102,1,0
PCI Ebola,Faranah,GIN003,Dabola,GIN003001,Bissikrima,GIN00300103,2,0
